drgv22,drg_title,mdc,mdc_name,drg_type,relative_weights,geometric_mean_los
208,DISORDERS OF THE BILIARY TRACT W/O CC,07,Liver & Pancreas,MED,0.6917,2.3
209,MAJOR JOINT & LIMB REATTACHMENT PROCEDURES OF LOWER EXTREMITY,08,Musculoskeletal (Bones & Joints),SURG,2.0332,4.3
210,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE >17 W CC,08,Musculoskeletal (Bones & Joints),SURG,1.8817,6.1
211,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE >17 W/O CC,08,Musculoskeletal (Bones & Joints),SURG,1.2675,4.4
212,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE 0-17,08,Musculoskeletal (Bones & Joints),SURG,1.4162,11.1
213,AMPUTATION FOR MUSCULOSKELETAL SYSTEM & CONN TISSUE DISORDERS,08,Musculoskeletal (Bones & Joints),SURG,1.8952,6.6
216,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE,08,Musculoskeletal (Bones & Joints),SURG,1.8966,3.8
217,"WND DEBRID & SKN GRFT EXCEPT HAND,FOR MUSCSKELET & CONN TISS DIS",08,Musculoskeletal (Bones & Joints),SURG,2.9339,9.0
218,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR AGE >17 W CC",08,Musculoskeletal (Bones & Joints),SURG,1.5762,4.3
219,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR AGE >17 W/O CC",08,Musculoskeletal (Bones & Joints),SURG,1.0191,2.7
220,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR AGE 0-17",08,Musculoskeletal (Bones & Joints),SURG,0.5885,5.3
223,"MAJOR SHOULDER/ELBOW PROC, OR OTHER UPPER EXTREMITY PROC W CC",08,Musculoskeletal (Bones & Joints),SURG,1.0764,2.2
224,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC, W/O CC",08,Musculoskeletal (Bones & Joints),SURG,0.7972,1.6
225,FOOT PROCEDURES,08,Musculoskeletal (Bones & Joints),SURG,1.1979,3.7
226,SOFT TISSUE PROCEDURES W CC,08,Musculoskeletal (Bones & Joints),SURG,1.5306,4.4
227,SOFT TISSUE PROCEDURES W/O CC,08,Musculoskeletal (Bones & Joints),SURG,0.8339,2.1
228,"MAJOR THUMB OR JOINT PROC,OR OTH HAND OR WRIST PROC W CC",08,Musculoskeletal (Bones & Joints),SURG,1.1649,2.8
229,"HAND OR WRIST PROC, EXCEPT MAJOR JOINT PROC, W/O CC",08,Musculoskeletal (Bones & Joints),SURG,0.7353,1.9
230,LOCAL EXCISION & REMOVAL OF INT FIX DEVICES OF HIP & FEMUR,08,Musculoskeletal (Bones & Joints),SURG,1.3454,3.7
232,ARTHROSCOPY,08,Musculoskeletal (Bones & Joints),SURG,0.9964,1.8
233,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,08,Musculoskeletal (Bones & Joints),SURG,1.9542,5.4
